UserName,Handle,Text,Comments,Likes,Retweets
NickStevens Graphics,@Nick_Stevens_Gr,"This is an (unflown) Soviet design for a cosmonaut to fly around in space, roughly equivalent to NASA's MMU.This is an (unflown) Soviet design for a cosmonaut to fly around in space, roughly equivalent to NASA's MMU.",6,36,173
Dr. Nasa (New Nigeria is POssible),@Nasaodo4u,"Bursted! This was where APC supporters planned what happened in Ibom airlineReplying to 
@abati1990",9,33,21
NASA Earth,@NASAEarth,"Elsa who? 

SnowEx was in the field this March – and it’s #WomensHistoryMonth! 

Today, we’re celebrating the female scientists who showshoed and snowmobiled through Alaska, dug snow pits, and measured snow properties for 
@nasa
’s SnowEx mission.Elsa who? 

SnowEx was in the field this March – and it’s #WomensHistoryMonth! 

Today, we’re celebrating the female scientists who showshoed and snowmobiled through Alaska, dug snow pits, and measured snow properties for 
@nasa
’s SnowEx mission.",5,19,136
Jyotilaxmi Nambiar Kurup,@PanchvatiNasik,"RISHI KANĀDA - WATER CYCLEFour thousand years ago, Rishi Kaṇāda discussed water cycle in exactly the same way in which NASA and other scientists discuss today. The amazing point is, Kanāda mentions evaporation, transpiration, condensation, precipitation and collection.RISHI KANĀDA - WATER CYCLEFour thousand years ago, Rishi Kaṇāda discussed water cycle in exactly the same way in which NASA and other scientists discuss today. The amazing point is, Kanāda mentions evaporation, transpiration, condensation, precipitation and collection.",1,40,87
NASA Astronomy POTD,@NASAPOTD,"The NASA Picture of the Day for April 2nd, 2023 is M57: The Ring Nebula from Hubble #NASAThe NASA Picture of the Day for April 2nd, 2023 is M57: The Ring Nebula from Hubble #NASA",,11,33
Laura,@SpaceBunny9,"What a welcome 
@NASA_Johnson
 - cotton candy skies, with the moon shot! can’t wait to meet everyone tomorrow! #NASASocialWhat a welcome 
@NASA_Johnson
 - cotton candy skies, with the moon shot! can’t wait to meet everyone tomorrow! #NASASocial",4,,25
Chris Bergin - NSF,@NASASpaceflight,"Starbase OG Hopper welcoming Ship 24 back to the launch site for the test flight!

https://youtube.com/watch?v=gTGvYlZB5BA…Starbase OG Hopper welcoming Ship 24 back to the launch site for the test flight!

https://youtube.com/watch?v=gTGvYlZB5BA…",12,92,"1,036"
✦nasa.exe | BUN BEATS IT'S OUT ✦,@nasadotexe,remix coming out today...remix coming out today...,3,4,14
Schlotz,@SchlotzOfficial,"________________________

#BreakingNews: 

#Dione announces partnership with #NASA to create the first blockchain-powered rocket to the moon!  
_______________________

http://DioneProtocol.com
_______________________
#Dione #Blockchain #Dioneprotocol #MoonMission #AprilFools________________________

#BreakingNews: 

#Dione announces partnership with #NASA to create the first blockchain-powered rocket to the moon!  
_______________________

http://DioneProtocol.com
_______________________
#Dione #Blockchain #Dioneprotocol #MoonMission #AprilFools",4,11,21
fiel,@zoneneos,my cousin told me about this local gastropub with gorgeous midcentury modern interiors tapos tangina niya nasa pampanga palamy cousin told me about this local gastropub with gorgeous midcentury modern interiors tapos tangina niya nasa pampanga pala,1,,5
AG,@A_G951,"NASA already suspended space shuttle program, vande Bharat today running at 120kmph japan achieved this speed in 1960 just for comparison.NASA already suspended space shuttle program, vande Bharat today running at 120kmph japan achieved this speed in 1960 just for comparison.",3,10,11
Regina Sukumpantanasan,@perthsbabe,"Ang hirap i-balance ng doing touristy things at pagattend sa ganap ng thai BL actors pag nasa Thailand.  From the grand palace to Panda FC แจ้งวัฒนะ real quick. 
#HBD23rdOHMPAWATAng hirap i-balance ng doing touristy things at pagattend sa ganap ng thai BL actors pag nasa Thailand.  From the grand palace to Panda FC แจ้งวัฒนะ real quick. 
#HBD23rdOHMPAWAT",,2,15
Keith Strong,@drkstrong,"IT WORKED! Thank you to all those that sent emails to NASA HQ complaining about Helioviewer not working. It seems to be fixed now! I assume it was not coincidence that within hours of your emails, suddenly it started working again. :)IT WORKED! Thank you to all those that sent emails to NASA HQ complaining about Helioviewer not working. It seems to be fixed now! I assume it was not coincidence that within hours of your emails, suddenly it started working again. :)",4,30,140
#UN #SDGs #ClimateAction #ActNow,@Sdg13Un,"A blue halo glows around Pluto’s receding crescent in this parting image taken by NASA's New Horizons spacecraft on July 14, 2015. At the time of this shot, New Horizons was 120,000 miles (200,000 kilometers) away from Pluto.A blue halo glows around Pluto’s receding crescent in this parting image taken by NASA's New Horizons spacecraft on July 14, 2015. At the time of this shot, New Horizons was 120,000 miles (200,000 kilometers) away from Pluto.",2,10,31
SPACE.com,@SPACEdotcom,NASA aims to boost diversity at space agency with 2 high-ranking positions https://trib.al/Xx4MN5ZNASA aims to boost diversity at space agency with 2 high-ranking positions https://trib.al/Xx4MN5Z,4,6,38
UFO CASE ALIEN,@multistagecorre,"Nasa treasonous > 083

contact!
#UFOTwitter #UFO #smudge #UFOSightings 
#uaptwitter  #NASA #UAP #Aliens
    
#OVNI


we oppose deception Nasa treasonous > 083

contact!
#UFOTwitter #UFO #smudge #UFOSightings 
#uaptwitter  #NASA #UAP #Aliens
    
#OVNI


we oppose deception ",2,1,6
@AndTartary and antiquity,@AndTartary and antiquity,"Margaret Hamilton, NASA's Chief Software Engineer - 1969

here where the codes that took man to the moon are written.

I tell them to tell me one of fictional cowboys I already know many false storiesMargaret Hamilton, NASA's Chief Software Engineer - 1969

here where the codes that took man to the moon are written.

I tell them to tell me one of fictional cowboys I already know many false stories",3,3,15
Omer Ghazi,@OmerGhazi2,"Indian-origin Engineer Amit Kshatriya will head NASA's Moon to Mars mission. 

From CEOs of global brands to top-tier politicians in the west to NASA scientists, we, Indians, are leaving our mark on the globe.

These traits help a country become a superpower.Indian-origin Engineer Amit Kshatriya will head NASA's Moon to Mars mission. 

From CEOs of global brands to top-tier politicians in the west to NASA scientists, we, Indians, are leaving our mark on the globe.

These traits help a country become a superpower.",10,89,406
büudead,@KBthabuddhist,earth spinnin faster than a bitch - per nasaearth spinnin faster than a bitch - per nasa,1,3,3
FGCZ,@FGCZ_EN,"FCGZ workshop at 
@ETH_en
  Treffpunkt #Science City 2023 «Das #Universum». The #NASA expedition is extremely successful so far, and young scientists are looking for living material in samples from space. Thank you to our 
@FGCZ_EN
  team and all the participants!! #Omics is fun!FCGZ workshop at 
@ETH_en
  Treffpunkt #Science City 2023 «Das #Universum». The #NASA expedition is extremely successful so far, and young scientists are looking for living material in samples from space. Thank you to our 
@FGCZ_EN
  team and all the participants!! #Omics is fun!",,6,9
Dr. Nasa (New Nigeria is POssible),@Nasaodo4u,"Can someone show 
@JoeIgbokwe
 Joe Iberibekwe this business card 

APC named him Okafor Ibe

Obiajulu Uja Hans  mistakenly gave someone this card at the airport 
@realFFK
 @fkeyamoCan someone show 
@JoeIgbokwe
 Joe Iberibekwe this business card 

APC named him Okafor Ibe

Obiajulu Uja Hans  mistakenly gave someone this card at the airport 
@realFFK
 @fkeyamo",4,17,16
Chivi,@chivivoree,"Yung sila ang nasa gitna 

#ViBrentYung sila ang nasa gitna 

#ViBrent",4,64,230
François-Philippe Champagne (FPC),@FP_Champagne,"We are going to the Moon!

We’ll be live this Monday, April 3, at 11:00 a.m. ET from the NASA Johnson Space Center in Houston to announce the Canadian astronaut who will take part in the #Artemis II mission to the Moon.

Join us to be part of this historic event! We are going to the Moon!

We’ll be live this Monday, April 3, at 11:00 a.m. ET from the NASA Johnson Space Center in Houston to announce the Canadian astronaut who will take part in the #Artemis II mission to the Moon.

Join us to be part of this historic event! ",32,35,122
valoricnero3,@valoricnero3,"This is a role model boys should have Navy seal, Harvard medical school and future Nasa Astronaut moon landing.
https://twitter.com/mrexits/status/1642254237290872832… 
@DolioJThis is a role model boys should have Navy seal, Harvard medical school and future Nasa Astronaut moon landing.
https://twitter.com/mrexits/status/1642254237290872832… 
@DolioJ",,6,20
Canadian Assoc for Girls in Science (CAGIS),@GirlsInScience,"On April 3, 
@NASA
 & 
@csa_asc
 will announce which 4 astronauts will fly around the Moon as part of Artemis II!  This will include the 1st Canadian & 1st woman to fly around the Moon.  Watch the announcement live at 11 am ET at the CSA YouTube & Facebook.
https://beta.ctvnews.ca/national/sci-tech/2023/3/30/1_6336348.amp.html…On April 3, 
@NASA
 & 
@csa_asc
 will announce which 4 astronauts will fly around the Moon as part of Artemis II!  This will include the 1st Canadian & 1st woman to fly around the Moon.  Watch the announcement live at 11 am ET at the CSA YouTube & Facebook.
https://beta.ctvnews.ca/national/sci-tech/2023/3/30/1_6336348.amp.html…",3,6,63
Nasaᵕ̈,@sxteverytime,Mashiro won’t turn around so xiaoting DID IM- Mashiro won’t turn around so xiaoting DID IM- ,,7,32
V Joel Guevara,@vjoelguevara,"'M57: The Ring Nebula from Hubble' From the #NASA
https://apod.nasa.gov/apod/ap230402.html…'M57: The Ring Nebula from Hubble' From the #NASA
https://apod.nasa.gov/apod/ap230402.html…",,1,2
Ray (52-26),@ifihad222choose,"I heard Peyton Watson was just hired by NASA the way he sending shit to the moon  
@peytonwatson_I heard Peyton Watson was just hired by NASA the way he sending shit to the moon  
@peytonwatson_",,1,9
BLEED BLUE,@Thumperjoey68," Level Earth Proof 
Firmament Dome Level Earth Hub :  https://t.me/followsthewhiterabbit/20011…
 NASA Fakery & Bloopers Hub  :  https://t.me/followsthewhiterabbit/22454… Level Earth Proof 
Firmament Dome Level Earth Hub :  https://t.me/followsthewhiterabbit/20011…
 NASA Fakery & Bloopers Hub  :  https://t.me/followsthewhiterabbit/22454…",1,1,1
Dr. Nasa (New Nigeria is POssible),@Nasaodo4u,"The so called Eze of Ajao is a known APC man working very closely with 
@jidesanwoolu
 

The APC and Tinubu are on a propaganda spree 

It has been alleged that the claimed arrest was just an audio arrest. The man is in his house enjoying himself 

#TinubuForPrisonThe so called Eze of Ajao is a known APC man working very closely with 
@jidesanwoolu
 

The APC and Tinubu are on a propaganda spree 

It has been alleged that the claimed arrest was just an audio arrest. The man is in his house enjoying himself 

#TinubuForPrison",1,59,57
Troubled Minds: A Conspiracy Radio Show/Podcast,@TroubledMindsR,"NASA’s James Webb Space Telescope Discovers Silicate Clouds on Distant Exoplanet: Scientists using NASA’s James Webb Space Telescope have made a groundbreaking discovery, observing silicate cloud features and multiple molecules… https://bit.ly/3M8bxvZ #history #weird #scienceNASA’s James Webb Space Telescope Discovers Silicate Clouds on Distant Exoplanet: Scientists using NASA’s James Webb Space Telescope have made a groundbreaking discovery, observing silicate cloud features and multiple molecules… https://bit.ly/3M8bxvZ #history #weird #science",,2,2
Chikage Windler WX,@ChikageWeather,"#Astronomy Picture of the Day:  via 
@NASA
 https://go.nasa.gov/3MaWBgs#Astronomy Picture of the Day:  via 
@NASA
 https://go.nasa.gov/3MaWBgs",,1,5
youngallison63,@youngallison63,"So ..she just talks over Stahl in that flat, nasa,l hateful, grating Southern accent like she does everyone else? No footage shown of her harassing David Hogg & kicking a young woman? What's the point? Glad I'm not watching.Replying to 
@krassenstein",4,13,98
KING,@Astro_kiing,"History in the making! Four brave astronauts would be embarking on a journey to the moon, paving the way for future space exploration. We're excited to witness this incredible feat and wish them a safe and successful mission.  #NASA #MoonMission #SpaceExplorationHistory in the making! Four brave astronauts would be embarking on a journey to the moon, paving the way for future space exploration. We're excited to witness this incredible feat and wish them a safe and successful mission.  #NASA #MoonMission #SpaceExploration",,,1
CityNews Vancouver,@CityNewsVAN,"On Monday, NASA and the Canadian Space Agency will introduce the four astronauts, three from the U.S. and one from Canada, for the first crewed mission to the moon in more than 50 years.On Monday, NASA and the Canadian Space Agency will introduce the four astronauts, three from the U.S. and one from Canada, for the first crewed mission to the moon in more than 50 years.",2,6,18
King Milkfart,@King_Milkfart,"To all those who still think they will best me in disclosure battle:

Check thine self before thou dost wrecketh thine self.

#ufotwitter #uaptwitter #nasa #comeatmebroTo all those who still think they will best me in disclosure battle:

Check thine self before thou dost wrecketh thine self.

#ufotwitter #uaptwitter #nasa #comeatmebro",5,,15
Markku Niska,@markkuniska,"Have you booked your flight to Mars yet? 
Do it here and your name will fly on a future mission to Mars.
https://mars.nasa.gov/participate/send-your-name/…
#NASA #MARSHave you booked your flight to Mars yet? 
Do it here and your name will fly on a future mission to Mars.
https://mars.nasa.gov/participate/send-your-name/…
#NASA #MARS",1,1,2
CGA MERCH // Seventeen FML,@MerchCga,"#GO_CGA 
wts lfb ph go 

Seventeen  ‘FML’  

album w/poster - 550php
album + wv pob - 730php
album + wv pob + fansign pc - 930 April 22 dop
DOP: May 15

pooling wv pob. fs, version

once onhand price nasa form po
DOO: April 22
ETA: NETA (May - June)

https://forms.gle/ZJxhKQEDJrhY3LuY9…#GO_CGA 
wts lfb ph go 

Seventeen  ‘FML’  

album w/poster - 550php
album + wv pob - 730php
album + wv pob + fansign pc - 930 April 22 dop
DOP: May 15

pooling wv pob. fs, version

once onhand price nasa form po
DOO: April 22
ETA: NETA (May - June)

https://forms.gle/ZJxhKQEDJrhY3LuY9…",3,5,32
Consulate General of Canada in Dallas,@CanCGDallas,"Tune in tomorrow - April 3 at 11am ET/ 10am CT as 
@NASA
 and 
@csa_asc
 announce the team of  who will participate in the #Artemis II mission to the Moon in 2024! Don't miss this historic event! 

Livestream Info : https://space.com/nasa-artemis-2-moon-crew-announcement-livestream…Tune in tomorrow - April 3 at 11am ET/ 10am CT as 
@NASA
 and 
@csa_asc
 announce the team of  who will participate in the #Artemis II mission to the Moon in 2024! Don't miss this historic event! 

Livestream Info : https://space.com/nasa-artemis-2-moon-crew-announcement-livestream…",,2,5
Andrew Balzer,@AlphaBalzer,"Don't forget ANZ - The #Artemis Missions have landed in Minecraft in partnership with
@NASA
 
There are TWO ANZ Live Lessons this week with special NASA guests! Navigate the Orion space capsule on a mission to the moon! #MinecraftEdu Sign up here: http://aka.ms/artemismissions #LinkedDon't forget ANZ - The #Artemis Missions have landed in Minecraft in partnership with
@NASA
 
There are TWO ANZ Live Lessons this week with special NASA guests! Navigate the Orion space capsule on a mission to the moon! #MinecraftEdu Sign up here: http://aka.ms/artemismissions #Linked",2,2,4
Tito Kap,@PTkapre24,"Ang simple pero ang cutipie talaga pag nasa CM Board na

#BGYO 
@bgyo_phAng simple pero ang cutipie talaga pag nasa CM Board na

#BGYO 
@bgyo_ph",3,22,66
Satnam Singh Sandhu,@satnamsandhuchd,"#AmitKshatriya is going to lead the ""Golden Age of Exploration"" as 
@NASA
’s newly-established 'Moon to Mars' Programme aims to prepare for humanity’s next giant leap to the Red Planet. 

#Mars #NASA #IndiaShining#AmitKshatriya is going to lead the ""Golden Age of Exploration"" as 
@NASA
’s newly-established 'Moon to Mars' Programme aims to prepare for humanity’s next giant leap to the Red Planet. 

#Mars #NASA #IndiaShining",5,15,126
Lisa Campbell,@lisacampbellasc,"Together we'll make history as our 
@NASA
 and 
@csa_asc
 astronauts fly around the Moon as part of Artemis II, the first crewed mission to the Moon since the Apollo missions. Tomorrow's announcement demonstrates the strong Canadian and U.S. partnership in space exploration!Together we'll make history as our 
@NASA
 and 
@csa_asc
 astronauts fly around the Moon as part of Artemis II, the first crewed mission to the Moon since the Apollo missions. Tomorrow's announcement demonstrates the strong Canadian and U.S. partnership in space exploration!",1,13,51
Felipe Lourenço,@felipelourencor,"In my head 
Ghostin 
NASA
Bad idea 

As melhores do tunIn my head 
Ghostin 
NASA
Bad idea 

As melhores do tun",1,,1
IvyNiDeanna,@iVYeAnNa_03,"Naol nasa Bali 
Happy 10th Monthsary Deavy 
Enjoy lang kayo jan  
@ivy_lacsina
 @deannawongstNaol nasa Bali 
Happy 10th Monthsary Deavy 
Enjoy lang kayo jan  
@ivy_lacsina
 @deannawongst",,9,64
Fossil Locator,@FossilLocator,I remember when the higher resolution images came out and the conspiracy minded claimed NASA had nuked Cydonia to hide evidenceI remember when the higher resolution images came out and the conspiracy minded claimed NASA had nuked Cydonia to hide evidence,3,6,46
DrVUDU~freerange,@VUsuxballs,"Morgellons/DARPA mouldice. Black Goo ( aka graphene oxide) this guy was talking about this stuff a decade ago…Replying to 
@vgclements1",2,8,10
Piero | Space artist,@SpacePart_39B,"So, who is excited about having a Canadian on Artemis II ? 
@csa_asc
 @NASA
 @esa
 
#Canada #Astronaut #ArtemisII #Moon #WeAreGoingSo, who is excited about having a Canadian on Artemis II ? 
@csa_asc
 @NASA
 @esa
 
#Canada #Astronaut #ArtemisII #Moon #WeAreGoing",2,2,16
PS,@psbeautifulsoul,"I'm finally back, home sweet home!  
Had a hard time to watch #teenclashep3 last Friday because di ako makapag focus when I'm using my phone and nasa ibang bahay.  Will rewatch again later using my pc para mas malaki yung screen and nkaheadset (so rinig na rinig). I'm finally back, home sweet home!  
Had a hard time to watch #teenclashep3 last Friday because di ako makapag focus when I'm using my phone and nasa ibang bahay.  Will rewatch again later using my pc para mas malaki yung screen and nkaheadset (so rinig na rinig). ",,4,16
nàsa,@yyourcandy_,"happy birthday sen 
@k_77SE
 wish u always be fine. wish we’re can be best friend, and wish we’re have many more interactions sen. be happy happy birthday sen 
@k_77SE
 wish u always be fine. wish we’re can be best friend, and wish we’re have many more interactions sen. be happy ",4,1,3
Simeon Schmauß,@stim3on,"Amazing CO2 clouds captured about an hour before sunrise by the 
@NASAPersevere
 rover back on Sol 738 (March 18). 

NASA/JPL-Caltech/Simeon Schmauß

Full res: https://flic.kr/p/2oqLHLgAmazing CO2 clouds captured about an hour before sunrise by the 
@NASAPersevere
 rover back on Sol 738 (March 18). 

NASA/JPL-Caltech/Simeon Schmauß

Full res: https://flic.kr/p/2oqLHLg",3,39,160
𝚈คś๓iຖ... ||JUSTICE4SSR||,@Yasmin2186,"""I'll be the Neil Armstrong of India,"" 

~ Sushant Singh Rajput
@itsSSR
 Visit To #NASA

Bollywood Envied SSR Talent 
They couldn't handle his level of intelligence he was way beyond their reach. That's why #BollywoodKiGandagi Eliminated him.

#BoycottBollywood
#JusticeForSSR""I'll be the Neil Armstrong of India,"" 

~ Sushant Singh Rajput
@itsSSR
 Visit To #NASA

Bollywood Envied SSR Talent 
They couldn't handle his level of intelligence he was way beyond their reach. That's why #BollywoodKiGandagi Eliminated him.

#BoycottBollywood
#JusticeForSSR",,38,24
Jeff Duntemann,@JeffDuntemann,"An asteroid as long as 33 armadillos nose-to-tail will zip by Earth on Sunday. Relax, it won't hit us--which is a good thing, because armadillos carry leprosy.

If the article seems a little...off, ask yourself what day Saturday is.
#armadillo #LeprosyAn asteroid as long as 33 armadillos nose-to-tail will zip by Earth on Sunday. Relax, it won't hit us--which is a good thing, because armadillos carry leprosy.

If the article seems a little...off, ask yourself what day Saturday is.
#armadillo #Leprosy",,6,10
NASA JPL,@NASAJPL,"The start of a new science campaign.
@NASAPersevere
 recently collected a sample from rock deposits that the science team believe were carried downstream by an ancient river. That means the material may have come from an area well beyond Jezero Crater. http://go.nasa.gov/3m5g5IGThe start of a new science campaign.
@NASAPersevere
 recently collected a sample from rock deposits that the science team believe were carried downstream by an ancient river. That means the material may have come from an area well beyond Jezero Crater. http://go.nasa.gov/3m5g5IG",21,172,"1,275"
annika,@jenowinkle,"@happeehour
 also can we ask reset of carts? you were able to pause the ticket selling for manifesto then continued after a few minutes to clear the carts lang. would it be possible for this ticketing too? since you’ve mentioned 2k tickets pa po nasa carts and it’s been 2 hours@happeehour
 also can we ask reset of carts? you were able to pause the ticket selling for manifesto then continued after a few minutes to clear the carts lang. would it be possible for this ticketing too? since you’ve mentioned 2k tickets pa po nasa carts and it’s been 2 hours",11,125,147
espresso first thing,@2EspressoFirst,"#SundayFunday, #NaturePhotography, #wallartforsale 
https://thewallarts.com
""Embrace the Beauty of Nature with Stunning Wall Art!"" #Mars 
@NASA_Marshall
 @NASA360#SundayFunday, #NaturePhotography, #wallartforsale 
https://thewallarts.com
""Embrace the Beauty of Nature with Stunning Wall Art!"" #Mars 
@NASA_Marshall
 @NASA360",,,
TEAM ISHIRO OFFICIAL,@ishiwormsofc,"Teka! Nasa trobol daw si #ISHIRO? There's one way to check it. 

Verify if it's true by tuning in on 
@iampieofficial
 tonight, 6 PM for Tropa Trobol! 

Ishiro In Trobol
#TroPIETrobol
#PIEShortsTeka! Nasa trobol daw si #ISHIRO? There's one way to check it. 

Verify if it's true by tuning in on 
@iampieofficial
 tonight, 6 PM for Tropa Trobol! 

Ishiro In Trobol
#TroPIETrobol
#PIEShorts",1,17,22
Mars Exploration Terraforming & Colonization News,@MarsExplorat,"1/2
NASA's #Mars_Exploration Program 

NASA’s Perseverance Collects First Mars Sample of New Science Campaign

""NASA’s Perseverance rover cored and stored the first sample of the mission’s newest science campaign on Thursday, March 30.1/2
NASA's #Mars_Exploration Program 

NASA’s Perseverance Collects First Mars Sample of New Science Campaign

""NASA’s Perseverance rover cored and stored the first sample of the mission’s newest science campaign on Thursday, March 30.",1,,1
Beverley Sait,@saitbeverley1,"Ph=y your system is sick.
Incest is not a joke when greedy aholes trap people inland #bloodDiamonds 
We are all related or should be part of natural creation else fate will meet destiny!!!
@realDonaldTrump
 McLeods ok boss?
@NASA
 bars! Miley bar sheep?
@eminem
 GROSS 
@BBCRadio1PRPh=y your system is sick.
Incest is not a joke when greedy aholes trap people inland #bloodDiamonds 
We are all related or should be part of natural creation else fate will meet destiny!!!
@realDonaldTrump
 McLeods ok boss?
@NASA
 bars! Miley bar sheep?
@eminem
 GROSS 
@BBCRadio1PR",,1,1
Prep Strength Coach,@prepstrength,"Fluid loss can double in high heat and humidity environments. Get fast, long-lasting hydration with 
@_The_RightStuff
 (NASA-developed sugar-free formula). Rapidly enters bloodstream for quick relief from dehydration symptoms. #electrolytedrink https://coachl.ink/3yiiT7QFluid loss can double in high heat and humidity environments. Get fast, long-lasting hydration with 
@_The_RightStuff
 (NASA-developed sugar-free formula). Rapidly enters bloodstream for quick relief from dehydration symptoms. #electrolytedrink https://coachl.ink/3yiiT7Q",,,
GAIN FOLLOWERS,@AuctionDirectGT,"#tvajo, 
@tvajo
, http://tvajo.com - NASA to Host Media Call on Upcoming Air Quality Satellite Launch via NASA#tvajo, 
@tvajo
, http://tvajo.com - NASA to Host Media Call on Upcoming Air Quality Satellite Launch via NASA",,,
Matthew Todd,@MrMatthewTodd,"NASA https://climate.nasa.gov/evidence/ Oxford https://ox.ac.uk/news/2021-08-09-oxford-climate-scientists-no-doubt-about-climate-change… Met office https://metoffice.gov.uk/weather/climate-change/what-is-climate-change… Margaret Thatcher https://youtu.be/aSrBO4_qPzo Stephen Hawking https://youtu.be/yrNoXsaWcmQ The oil PR campaign against the facts:  https://youtu.be/YhDacrl1aSAReplying to @MrMatthewTodd and 
@AllisonPearson",6,1,5
Nasa Picture,@NasaPictureBot,"149 - M57: The Ring Nebula from Hubble
 
It was noticed hundreds of years ago by stargazers who could not understand its ...
 
2023-04-02

#nasa #esa #space #astronomy #cosmos #science #photography #galaxy #universe #milkyway
 
https://apod.nasa.gov/apod/image/2304/Ring_HubbleSchmidt_1548.jpg…149 - M57: The Ring Nebula from Hubble
 
It was noticed hundreds of years ago by stargazers who could not understand its ...
 
2023-04-02

#nasa #esa #space #astronomy #cosmos #science #photography #galaxy #universe #milkyway
 
https://apod.nasa.gov/apod/image/2304/Ring_HubbleSchmidt_1548.jpg…",,,2
Amisha Mishra,@AmishaMish11196,"Indian-origin software and robotics engineer Amit Kshatriya has been appointed to NASA’s Moon to Mars program https://thehaalchal.com/indian-origin-software-and-robotics-engineer-amit-kshatriya-has-been-appointed-to-nasas-moon-to-mars-program/… via 
@The
 Haal ChalIndian-origin software and robotics engineer Amit Kshatriya has been appointed to NASA’s Moon to Mars program https://thehaalchal.com/indian-origin-software-and-robotics-engineer-amit-kshatriya-has-been-appointed-to-nasas-moon-to-mars-program/… via 
@The
 Haal Chal",,,1
Nature Tv,@NatureTvRw,"NASA Astronauts Share Their Space Station Experience on This Week 
@NASA
 â March 31, 2023 https://ift.tt/3H6h91x #RwOT #Rwanda #LMWNASA Astronauts Share Their Space Station Experience on This Week 
@NASA
 â March 31, 2023 https://ift.tt/3H6h91x #RwOT #Rwanda #LMW",,3,
Nasa Picture,@NasaPictureBot,"382 - NGC 2442: Galaxy in Volans
 
Distorted galaxy NGC 2442 can be found in the southern constellation of the flyi...
 
2023-04-01
Nicolas Rolland
#nasa #esa #space #astronomy #cosmos #science #photography #galaxy #universe #milkyway
 
https://apod.nasa.gov/apod/image/2304/NGC2442-NicolasROLLAND_signatur.jpg…382 - NGC 2442: Galaxy in Volans
 
Distorted galaxy NGC 2442 can be found in the southern constellation of the flyi...
 
2023-04-01
Nicolas Rolland
#nasa #esa #space #astronomy #cosmos #science #photography #galaxy #universe #milkyway
 
https://apod.nasa.gov/apod/image/2304/NGC2442-NicolasROLLAND_signatur.jpg…",,,1
